np, total, tiempo
  1,25,0.00013567
  2,25,0.00024919
  3,25,0.00084626
  4,25,0.00023159
  5,25,0.00028995
  6,25,0.00054391
  7,25,0.00227209
  8,25,0.00031761
  9,25,0.00033111
 10,25,0.00150431
